batch,plaid_plate,error_type,error,Zfactor_expected,SSMD_expected,Zfactor_plaid,SSMD_plaid,Zfactor_rand,SSMD_rand,Zfactor_border,SSMD_border
3,plate_layout_10-10_35.npy,bowl-nl,0.17,-0.2910203029060996,-2.5473691141245878,-0.11615301581503013,-3.0971549745036175,-0.14309446975787043,-2.8331626531632543,0.0368163645373597,-3.3426817563087985
3,plate_layout_10-10_37.npy,bowl-nl,0.17,-0.3411493947209192,-2.4579100725929766,-0.32798456152034894,-2.4642353613418284,-0.25068015836965163,-2.505682176869691,0.03031377535113089,-3.372297291674254
3,plate_layout_10-10_38.npy,bowl-nl,0.17,-0.37045085328759786,-2.4042274698819086,-0.025205866142849143,-3.254859105655897,-0.5442567739511608,-2.226422829698436,0.19253739049847518,-4.376221527659355
3,plate_layout_10-10_39.npy,bowl-nl,0.17,-0.31731815652678086,-2.5228570276910602,-0.007100123493696042,-3.2355642513496328,-0.3271755133393184,-2.4121464290532324,0.13603029706345426,-4.030696307467764
3,plate_layout_10-10_25.npy,bowl-nl,0.17,-0.34198008084023623,-2.483973115913113,0.07897942280532988,-3.6437464125958603,-0.9988238361900703,-1.5815324857467163,-0.1782306645714018,-2.8970770596713646
3,plate_layout_10-10_17.npy,bowl-nl,0.17,-0.30135534373582473,-2.5445929202381645,0.12777522150329734,-4.264640638300247,-0.31893707791324966,-2.613872926460924,0.04128186379123522,-3.6897180586022444
3,plate_layout_10-10_33.npy,bowl-nl,0.17,-0.3045463474039205,-2.5444395934651105,-0.20157244518162631,-2.724020758238115,-0.6975230772211056,-1.8822844722378238,0.03596101615376135,-3.3813454859876333
3,plate_layout_10-10_05.npy,bowl-nl,0.17,-0.3451501996405011,-2.4768234253197754,0.04497660717662788,-3.29028225832336,0.03141775300388949,-3.4416906145368227,-0.014178045928329164,-3.3366747370953034
3,plate_layout_10-10_31.npy,bowl-nl,0.17,-0.27772303438758295,-2.643154363285351,-0.34622645610980873,-2.3841127157514017,0.1290383942678901,-4.039778758610619,0.4436366934307068,-6.490709474143569
3,plate_layout_10-10_18.npy,bowl-nl,0.17,-0.25129945705651235,-2.6313775170154563,-0.2145004882446946,-2.7119893668874755,-0.21742254625266066,-2.732573742748895,0.2524782878531937,-4.613088909962386
3,plate_layout_10-10_04.npy,bowl-nl,0.17,-0.33086495630363255,-2.515723265533397,-0.5239445492789452,-2.129278932218398,-0.2811649291793541,-2.6732456444134396,0.07793857175735663,-3.926316453856549
