batch,plaid_plate,error_type,error,Zfactor_expected,SSMD_expected,Zfactor_plaid,SSMD_plaid,Zfactor_rand,SSMD_rand,Zfactor_border,SSMD_border
0,plate_layout_10-10_02.npy,bowl-nl,0.25,-0.5945645864093785,-2.0419725440439085,-0.41180078765649264,-2.273086470882347,-0.2382261065319864,-2.7298358910216183,-0.1559219539810992,-2.781785702697819
0,plate_layout_10-10_03.npy,bowl-nl,0.25,-0.5208288436453559,-2.1875181372638948,-0.47516079878103334,-2.2630136072131983,-0.9092133064072441,-1.7784109789718008,0.036431359902855065,-3.609288824609127
0,plate_layout_10-10_06.npy,bowl-nl,0.25,-0.48329294399692024,-2.2053677911569927,-0.2682331239829687,-2.5136802994338185,-0.566462670140006,-2.064323689852312,-0.0734311143370856,-3.1279168211875534
0,plate_layout_10-10_09.npy,bowl-nl,0.25,-0.5474061631493548,-2.1062445437106168,-0.4376087611859547,-2.2178537795792495,-0.5510083163534476,-2.0005708641889988,-0.0910952578180193,-3.09999423156496
0,plate_layout_10-10_11.npy,bowl-nl,0.25,-0.5185110204158319,-2.185264048732696,-0.39837201352420704,-2.404716507488916,-0.4957013567479369,-2.08291247156395,-0.2539727002391563,-2.8267764896431844
0,plate_layout_10-10_15.npy,bowl-nl,0.25,-0.5944312425404885,-2.0611390250520785,-1.098206491818721,-1.4923619609719243,-0.4616426058800047,-2.264091341615394,0.19605910548272398,-4.215521774658681
0,plate_layout_10-10_19.npy,bowl-nl,0.25,-0.5100930787064819,-2.184518127777887,-0.3040790947710328,-2.533907504813151,-0.7692483455761232,-1.8317272067888704,0.07351952641725135,-3.601889943091002
0,plate_layout_10-10_20.npy,bowl-nl,0.25,-0.655351206773297,-1.9573077448291334,-0.6523891015325685,-1.9396503059644736,-0.5847455100724599,-2.086686021854205,0.003955077292929987,-3.3420604955120696
0,plate_layout_10-10_26.npy,bowl-nl,0.25,-0.6201551724426662,-2.0243913591383595,-0.7763108265294956,-1.8006731048866564,-0.7973645796269759,-1.7899360547210472,-0.09309207584382495,-2.959125501425786
0,plate_layout_10-10_27.npy,bowl-nl,0.25,-0.5492740488825534,-2.1106573072264996,-0.24517934630284977,-2.6279161169346064,-0.48293785902670394,-2.1840369475916086,-0.028128845108354117,-3.202480436978615
0,plate_layout_10-10_28.npy,bowl-nl,0.25,-0.5423846392437779,-2.125303254654074,-0.3615819979240258,-2.3867961413199557,-0.5338671860386297,-2.169341502959454,-0.08207450547759265,-3.028928726920474
0,plate_layout_10-10_30.npy,bowl-nl,0.25,-0.6269387299525495,-2.030032165767309,-0.15545203706841204,-2.8304411732462977,-0.9515226637185905,-1.7669572411660852,-0.020496897433099237,-3.367127586569902
0,plate_layout_10-10_34.npy,bowl-nl,0.25,-0.5682131294298152,-2.094935633958834,-0.43116971032545703,-2.3297280771399382,-0.5135095716774394,-2.1430913385781034,-0.10500032771236634,-3.033016682814219
0,plate_layout_10-10_35.npy,bowl-nl,0.25,-0.627141508915672,-2.023016185203348,-0.3424620145827113,-2.4599827899538456,-0.1821206586065618,-2.925935622095039,-0.41585905997275585,-2.291016305286508
0,plate_layout_10-10_37.npy,bowl-nl,0.25,-0.5536470886047375,-2.1574728890283854,-0.8280904782168661,-1.8499866319994487,-0.34017026238146864,-2.3852379109592956,-0.11623189320908245,-3.339424539152395
0,plate_layout_10-10_38.npy,bowl-nl,0.25,-0.5832470576473627,-2.071644042414985,-0.18923263542574698,-2.761398776086093,-0.30986916237280937,-2.5776974370854995,0.0033133960222592185,-3.257896743051136
0,plate_layout_10-10_39.npy,bowl-nl,0.25,-0.5445665416477143,-2.1159929492159217,-0.3562504850391237,-2.4586853452563773,-0.4141718139821169,-2.244019011901058,0.3123350598427225,-5.263987203660473
0,plate_layout_10-10_25.npy,bowl-nl,0.25,-0.5510330144098012,-2.1196356999741894,-0.11988634395354025,-3.0231169108620315,-0.24265711467643225,-2.600028051881188,-0.1876604915870106,-2.680484891375302
0,plate_layout_10-10_17.npy,bowl-nl,0.25,-0.5188061901591341,-2.1459537696521873,0.10436424444707537,-3.696536301494618,-0.6728560510489145,-1.9130011058131269,0.1256627659691848,-3.8209366116974954
0,plate_layout_10-10_33.npy,bowl-nl,0.25,-0.6045436965102151,-2.0221815212477017,-0.4562396092180605,-2.197689419604482,-0.29443962363280063,-2.5409022320802843,0.12593845661997594,-3.7109576090952023
0,plate_layout_10-10_05.npy,bowl-nl,0.25,-0.5575810904864675,-2.0949045611733172,-0.35431301544479443,-2.5205484050617075,0.0226045939867755,-3.178080208844946,-0.09342260054413787,-3.0060977655848573
0,plate_layout_10-10_31.npy,bowl-nl,0.25,-0.5995850713714257,-2.0479861090676392,-0.6068940518238717,-1.9668712694952868,-0.8044261083898123,-1.8034779899499098,-0.16447224313953224,-2.978605320390451
0,plate_layout_10-10_18.npy,bowl-nl,0.25,-0.4791286296151944,-2.215640026583046,-0.46536978773358495,-2.2458817274276006,-0.2766808712380038,-2.5675193420731772,0.09580907883136269,-3.726216858993705
0,plate_layout_10-10_04.npy,bowl-nl,0.25,-0.5774105006568928,-2.0613748698549936,-0.871440488041102,-1.7082463115684514,-0.42547974517527765,-2.2223670565906506,-0.1339328360893315,-2.8228744453919568
0,plate_layout_10-10_21.npy,bowl-nl,0.25,-0.5361667333313953,-2.111470951277781,-0.694858866163925,-1.8948050393126672,-0.5104596804161889,-2.0985376636345308,-0.09368304343317901,-2.944996087862902
0,plate_layout_10-10_14.npy,bowl-nl,0.25,-0.5023671570355555,-2.168750624626521,-0.6109616117647854,-2.0998112898685455,-0.3250061192876639,-2.430690641727853,0.14470209960138236,-3.7590701611428385
0,plate_layout_10-10_13.npy,bowl-nl,0.25,-0.5499183113944244,-2.1022163121532955,-0.402591865149704,-2.454563564258616,-0.7885406156878243,-1.7576656021161592,0.025162326538876623,-3.3246559576949095
0,plate_layout_10-10_08.npy,bowl-nl,0.25,-0.6663304004888149,-1.954689281790019,-0.3322609330136759,-2.407548870341456,-0.3189026638391659,-2.4279347323987865,-0.09330886549151951,-2.933612199958473
0,plate_layout_10-10_29.npy,bowl-nl,0.25,-0.572360594974302,-2.0861811763335454,-0.3745673587589833,-2.486738638405328,-0.41214316653819094,-2.288860130031349,-0.1411379311689751,-2.870095028894667
0,plate_layout_10-10_32.npy,bowl-nl,0.25,-0.5000504011991898,-2.178547002593926,-0.8720147610365778,-1.7619857223300628,-0.4540834806853893,-2.2028704424275825,-0.08595092405450866,-3.0267217970078493
0,plate_layout_10-10_22.npy,bowl-nl,0.25,-0.5718557177361274,-2.0658027018300444,-0.5673137228397922,-2.0918946404478134,-0.5059122405125569,-2.1282593173958197,-0.011645886679667594,-3.25917378391044
0,plate_layout_10-10_16.npy,bowl-nl,0.25,-0.6557673527310532,-1.9774220995856362,-0.889595915162753,-1.775325983821452,-0.43737984796117213,-2.247488922447954,-0.24636621632225641,-2.5884149692982468
0,plate_layout_10-10_23.npy,bowl-nl,0.25,-0.5958338489166015,-2.077834065428521,-0.6492607078580845,-2.064669579525671,0.055264886768005894,-3.7816371546380534,-0.06778036479348049,-3.075972779768254
0,plate_layout_10-10_10.npy,bowl-nl,0.25,-0.5838600308370174,-2.079212100799749,-0.4511964714971919,-2.1749735343788945,-0.08575571809536098,-2.929847461502097,0.1037700547467948,-3.8122210391453932
0,plate_layout_10-10_01.npy,bowl-nl,0.25,-0.45103538755007144,-2.2570213256831733,-0.40339724851373493,-2.327223231241502,0.036369185804434934,-3.379903494932944,-0.07122001961759983,-3.134867799071478
