layout,error_type,error,lost_rows,neg_control_mean,pos_control_mean,neg_stdev,pos_stdev,Zfactor_expected,SSMD_expected,Zfactor_raw,SSMD_raw,Zfactor_norm,SSMD_norm
PLAID,bowl-nl,0.05,0,98.94796095569836,36.69564156449179,6.6851287751356425,4.3222774271175135,0.46954235714108983,-7.8199379077551345,0.06935570114187006,-4.34732907606552,0.13457038968255708,-4.902291442950892
PLAID,bowl-nl,0.05,1,100.27312336687523,35.86640421006208,3.5609216405203865,7.145531281859886,0.5013042243474821,-8.067320349897479,-1.6337545128700421,-1.4911182685429094,0.1530254588025104,-4.7309396924875555
PLAID,bowl-nl,0.05,2,102.02706274024374,36.989113253571404,5.019346309352371,6.349451511762104,0.4755924236151917,-8.035541025803155,-1.317030659339638,-1.6662802356722253,0.15658269436010663,-4.946827906569863
PLAID,bowl-nl,0.05,0,98.34629857463628,34.528350411696366,5.384631264453565,6.066079616862158,0.461716748457043,-7.867879370721134,-0.03213744624252013,-3.987430032148035,0.22203876653507715,-5.43641874266557
PLAID,bowl-nl,0.05,1,99.04792786404363,34.37923447194403,4.957866237401476,6.838949034883038,0.452742216356932,-7.655825763111968,-1.396841734435295,-1.6438247467495557,0.34152074662814047,-6.408593191125574
PLAID,bowl-nl,0.05,2,97.80369448255432,38.898559683402524,5.123205294092601,7.05957713489718,0.3795388566448774,-6.75311314387988,-1.5274474535073645,-1.605363859535475,0.18145547859997135,-5.142089913480077
PLAID,bowl-nl,0.05,0,100.29749986889045,37.276146584355935,3.6589038175501174,5.239398303972012,0.5764148979149686,-9.861678888437865,-0.10393697844915706,-3.5569779804587505,0.1416965208043811,-4.942979923730543
PLAID,bowl-nl,0.05,1,101.60048777684109,32.77435100418633,4.1929436923816965,4.74401692684186,0.6104549359463267,-10.870623832416316,-0.13562218999243414,-3.694793216799819,0.2435505152278482,-5.5457949509909845
PLAID,bowl-nl,0.05,2,99.21296616758916,35.73565779731381,4.509347947153669,6.118162809677706,0.4977333934117498,-8.351833876973654,-1.5363904190567403,-1.575959314907267,0.13656024319097848,-4.909056451748108
PLAID,bowl-nl,0.05,0,99.00326830898247,34.008520317330074,2.624642448458812,3.9663865224631865,0.6957740813872291,-13.665409551937401,-0.20122112600139763,-3.054132439210197,0.4570735440489192,-7.524443546535326
PLAID,bowl-nl,0.05,1,97.6066004169114,35.61978531432671,4.216010250172573,4.409427273016746,0.5825513453668475,-10.160709261009732,-1.5175557442174235,-1.5262153395571803,0.40746157488530177,-7.159882625327232
PLAID,bowl-nl,0.05,2,100.79426151536344,37.75198222093767,5.0912346956631405,5.387267259093672,0.501358354804123,-8.505002789796995,-1.5104433917983395,-1.5750818560473336,0.3178534996912715,-6.052000917526781
